        4629           2          20
Tue Oct 25 03:38:30 2005
nirspec_drtau_glue.dat

Full Nirspec spectrum of drtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
drtau_coice_dec02.dat 2 0.400000 0.958951
drtau_coice+_dec02.dat 2 0.600000 0.958951
drtau_cop_dec02.dat 3 0.400000 1.26488
drtau_cop+_dec02.dat 3 0.600000 1.23907

     Wavelength     Flux
         um          Jy
 
  4.6634021E+00  1.3103017E+00
  4.6634955E+00  1.3232889E+00
  4.6635890E+00  1.3216978E+00
  4.6636820E+00  1.3076799E+00
  4.6637754E+00  1.3138351E+00
  4.6638684E+00  1.3208749E+00
  4.6639619E+00  1.3120036E+00
  4.6640553E+00  1.3069712E+00
  4.6641483E+00  1.3279566E+00
  4.6642418E+00  1.3514298E+00
  4.6643348E+00  1.3784686E+00
  4.6644282E+00  1.4518172E+00
  4.6645217E+00  1.4734480E+00
  4.6646147E+00  1.4205779E+00
  4.6647081E+00  1.3691659E+00
  4.6648016E+00  1.3506287E+00
  4.6648946E+00  1.3342845E+00
  4.6649880E+00  1.3152574E+00
  4.6650815E+00  1.3090738E+00
  4.6651745E+00  1.3174602E+00
  4.6652679E+00  1.2941557E+00
  4.6653614E+00  1.2959362E+00
  4.6654544E+00  1.2925122E+00
  4.6655478E+00  1.2810209E+00
  4.6656413E+00  1.2905244E+00
  4.6657343E+00  1.2906665E+00
  4.6658278E+00  1.3112646E+00
  4.6659212E+00  1.3214011E+00
  4.6660147E+00  1.3053459E+00
  4.6661077E+00  1.3020750E+00
  4.6662011E+00  1.3048742E+00
  4.6662946E+00  1.3064547E+00
  4.6663876E+00  1.3169365E+00
  4.6664810E+00  1.3346475E+00
  4.6665745E+00  1.3586768E+00
  4.6666679E+00  1.3623390E+00
  4.6667609E+00  1.3527085E+00
  4.6668544E+00  1.3575444E+00
  4.6669478E+00  1.3794495E+00
  4.6670413E+00  1.3794903E+00
  4.6671343E+00  1.3879862E+00
  4.6672277E+00  1.4090763E+00
  4.6673212E+00  1.4225150E+00
  4.6674147E+00  1.4381560E+00
  4.6675076E+00  1.4531951E+00
  4.6676011E+00  1.4596579E+00
  4.6676946E+00  1.5067488E+00
  4.6677880E+00  1.5966384E+00
  4.6678810E+00  1.6582648E+00
  4.6679745E+00  1.6292696E+00
  4.6680679E+00  1.5526119E+00
  4.6681614E+00  1.4829504E+00
  4.6682549E+00  1.4135354E+00
  4.6683478E+00  1.3596900E+00
  4.6684413E+00  1.3408393E+00
  4.6685348E+00  1.3314793E+00
  4.6686282E+00  1.3322932E+00
  4.6687217E+00  1.3298273E+00
  4.6688147E+00  1.3204831E+00
  4.6689081E+00  1.3283776E+00
  4.6690016E+00  1.3311716E+00
  4.6690950E+00  1.3250412E+00
  4.6691885E+00  1.3181607E+00
  4.6692820E+00  1.3104136E+00
  4.6693749E+00  1.3134402E+00
  4.6694684E+00  1.3078166E+00
  4.6695619E+00  1.3115851E+00
  4.6696553E+00  1.3332915E+00
  4.6697488E+00  1.3303863E+00
  4.6698422E+00  1.3145394E+00
  4.6699357E+00  1.3196822E+00
  4.6700287E+00  1.3100736E+00
  4.6701221E+00  1.3241481E+00
  4.6702156E+00  1.3272440E+00
  4.6703091E+00  1.3198165E+00
  4.6704025E+00  1.3124838E+00
  4.6704960E+00  1.3248643E+00
  4.6705894E+00  1.3263276E+00
  4.6706829E+00  1.3498285E+00
  4.6707764E+00  1.3480183E+00
  4.6708694E+00  1.3457057E+00
  4.6709628E+00  1.3399842E+00
  4.6710563E+00  1.3404342E+00
