        4635           2          20
Tue Dec 16 18:49:09 2008
nirspec_fztau_glue.dat

Full Nirspec spectrum of fztau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
fztau_coice_dec08.dat 1 0.700000 1.00785
fztau_coice+_dec08.dat 1 0.700000 1.04816
fztau_cop_dec08.dat 2 0.700000 0.993951
fztau_cop+_dec08.dat 2 0.700000 1.01383

     Wavelength     Flux
         um          Jy
 
  4.6646681E+00  1.2553637E+00
  4.6647611E+00  1.2409633E+00
  4.6648545E+00  1.2457396E+00
  4.6649480E+00  1.2539722E+00
  4.6650410E+00  1.2423732E+00
  4.6651344E+00  1.2403795E+00
  4.6652279E+00  1.2351494E+00
  4.6653209E+00  1.2128665E+00
  4.6654143E+00  1.2144988E+00
  4.6655078E+00  1.2078186E+00
  4.6656008E+00  1.2094560E+00
  4.6656942E+00  1.2164750E+00
  4.6657877E+00  1.2183846E+00
  4.6658807E+00  1.2413350E+00
  4.6659741E+00  1.2492646E+00
  4.6660676E+00  1.2430409E+00
  4.6661606E+00  1.2355345E+00
  4.6662540E+00  1.2567360E+00
  4.6663475E+00  1.2658695E+00
  4.6664410E+00  1.2783108E+00
  4.6665339E+00  1.2853879E+00
  4.6666274E+00  1.2866623E+00
  4.6667209E+00  1.2945031E+00
  4.6668143E+00  1.3059984E+00
  4.6669073E+00  1.3286444E+00
  4.6670008E+00  1.3368468E+00
  4.6670942E+00  1.3548635E+00
  4.6671877E+00  1.3681974E+00
  4.6672807E+00  1.3946882E+00
  4.6673741E+00  1.4189103E+00
  4.6674676E+00  1.4364145E+00
  4.6675611E+00  1.4746985E+00
  4.6676540E+00  1.5156015E+00
  4.6677475E+00  1.5129277E+00
  4.6678410E+00  1.4711727E+00
  4.6679344E+00  1.4158719E+00
  4.6680274E+00  1.3859279E+00
  4.6681209E+00  1.3490174E+00
  4.6682143E+00  1.3005112E+00
  4.6683078E+00  1.2729386E+00
  4.6684012E+00  1.2510482E+00
  4.6684942E+00  1.2287265E+00
  4.6685877E+00  1.2339853E+00
  4.6686811E+00  1.2384902E+00
  4.6687746E+00  1.2296973E+00
  4.6688681E+00  1.2219180E+00
  4.6689615E+00  1.2243166E+00
  4.6690545E+00  1.2071667E+00
  4.6691480E+00  1.1915476E+00
  4.6692414E+00  1.2021272E+00
  4.6693349E+00  1.2168456E+00
  4.6694283E+00  1.2044806E+00
  4.6695218E+00  1.1947780E+00
  4.6696148E+00  1.1993809E+00
  4.6697083E+00  1.2057482E+00
  4.6698017E+00  1.2076325E+00
  4.6698952E+00  1.2016627E+00
  4.6699886E+00  1.2067907E+00
  4.6700821E+00  1.2027178E+00
  4.6701756E+00  1.1980569E+00
  4.6702690E+00  1.1987354E+00
  4.6703620E+00  1.2030488E+00
  4.6704555E+00  1.1983384E+00
  4.6705489E+00  1.1896590E+00
  4.6706424E+00  1.1936738E+00
  4.6707358E+00  1.2306175E+00
  4.6708293E+00  1.2414819E+00
  4.6709228E+00  1.2485040E+00
  4.6710162E+00  1.2673031E+00
  4.6711097E+00  1.2969606E+00
  4.6712031E+00  1.3492812E+00
  4.6712961E+00  1.3637625E+00
  4.6713896E+00  1.3333617E+00
  4.6714830E+00  1.2987707E+00
  4.6715765E+00  1.2845716E+00
  4.6716700E+00  1.2916824E+00
  4.6717634E+00  1.2934663E+00
  4.6718569E+00  1.2885919E+00
  4.6719503E+00  1.2819653E+00
  4.6720438E+00  1.2913569E+00
  4.6721373E+00  1.2948315E+00
  4.6722307E+00  1.2919858E+00
  4.6723242E+00  1.2892107E+00
  4.6724176E+00  1.3080633E+00
  4.6725111E+00  1.3271413E+00
  4.6726046E+00  1.3378576E+00
  4.6726980E+00  1.3451717E+00
  4.6727915E+00  1.3384078E+00
  4.6728849E+00  1.3440306E+00
  4.6729784E+00  1.3592353E+00
  4.6730719E+00  1.3525853E+00
  4.6731653E+00  1.3469201E+00
  4.6732588E+00  1.3273131E+00
  4.6733522E+00  1.3058170E+00
  4.6734457E+00  1.2897283E+00
  4.6735392E+00  1.3011667E+00
  4.6736326E+00  1.3257161E+00
  4.6737261E+00  1.3435608E+00
  4.6738195E+00           -NaN
  4.6739130E+00           -NaN
  4.6740065E+00           -NaN
  4.6740999E+00           -NaN
  4.6741934E+00           -NaN
  4.6742868E+00           -NaN
  4.6743803E+00           -NaN
  4.6744738E+00           -NaN
  4.6745672E+00  1.5031872E+00
  4.6746607E+00  1.4817215E+00
  4.6747541E+00  1.4094427E+00
  4.6748481E+00  1.3370699E+00
  4.6749415E+00  1.3079711E+00
  4.6750350E+00  1.2918473E+00
  4.6751285E+00  1.3152827E+00
  4.6752219E+00  1.3617624E+00
  4.6753154E+00  1.3921292E+00
  4.6754088E+00  1.4202977E+00
  4.6755023E+00  1.4278309E+00
  4.6755958E+00  1.4024280E+00
  4.6756892E+00  1.3477591E+00
  4.6757827E+00  1.3128397E+00
  4.6758766E+00  1.2936287E+00
  4.6759701E+00  1.2446016E+00
  4.6760635E+00  1.2304029E+00
  4.6761570E+00  1.2094476E+00
  4.6762505E+00  1.2141902E+00
  4.6763439E+00  1.2132849E+00
  4.6764374E+00  1.2116708E+00
  4.6765313E+00  1.2035389E+00
  4.6766248E+00           -NaN
  4.6767182E+00           -NaN
  4.6768117E+00           -NaN
  4.6769052E+00  1.1066508E+00
  4.6769986E+00  1.1163958E+00
  4.6770921E+00  1.1680226E+00
  4.6771860E+00  1.1761906E+00
  4.6772795E+00  1.1752483E+00
  4.6773729E+00  1.1853317E+00
  4.6774664E+00  1.1837323E+00
  4.6775599E+00  1.1817101E+00
  4.6776538E+00  1.1795372E+00
  4.6777472E+00  1.1871657E+00
  4.6778407E+00  1.2076811E+00
  4.6779342E+00  1.2151659E+00
  4.6780276E+00  1.2180145E+00
  4.6781216E+00  1.2576281E+00
  4.6782150E+00  1.2817835E+00
  4.6783085E+00  1.2973886E+00
  4.6784019E+00  1.2727823E+00
  4.6784954E+00           -NaN
  4.6785893E+00           -NaN
  4.6786828E+00           -NaN
  4.6787763E+00           -NaN
  4.6788697E+00           -NaN
  4.6789637E+00           -NaN
  4.6790571E+00           -NaN
  4.6791506E+00  1.1705334E+00
  4.6792440E+00  1.1979594E+00
  4.6793380E+00  1.2459931E+00
  4.6794314E+00  1.2467443E+00
  4.6795249E+00  1.2588986E+00
  4.6796184E+00  1.2489154E+00
  4.6797123E+00  1.2479054E+00
  4.6798058E+00  1.2506293E+00
  4.6798992E+00  1.2388335E+00
  4.6799932E+00  1.2155453E+00
  4.6800866E+00  1.1535949E+00
  4.6801801E+00  1.1860703E+00
  4.6802735E+00  1.2195677E+00
  4.6803675E+00  1.2163532E+00
  4.6804609E+00  1.2146857E+00
  4.6805544E+00  1.2134652E+00
  4.6806483E+00  1.2489948E+00
  4.6807418E+00  1.2753894E+00
  4.6808352E+00           -NaN
  4.6809292E+00           -NaN
  4.6810226E+00           -NaN
  4.6811161E+00           -NaN
  4.6812100E+00           -NaN
  4.6813035E+00           -NaN
  4.6813970E+00           -NaN
  4.6814909E+00           -NaN
  4.6815844E+00           -NaN
  4.6816778E+00  1.3038096E+00
  4.6817718E+00  1.3012308E+00
  4.6818652E+00  1.2771083E+00
  4.6819592E+00  1.2634442E+00
  4.6820526E+00  1.2768509E+00
  4.6821461E+00  1.3251984E+00
  4.6822400E+00  1.3756466E+00
  4.6823335E+00           -NaN
  4.6824269E+00           -NaN
  4.6825209E+00           -NaN
  4.6826143E+00           -NaN
  4.6827083E+00  1.7697947E+00
  4.6828017E+00  1.8236330E+00
  4.6828957E+00  1.8851235E+00
  4.6829891E+00  1.8656356E+00
  4.6830826E+00  1.7507573E+00
  4.6831765E+00  1.6629418E+00
  4.6832700E+00  1.6064799E+00
  4.6833639E+00  1.5514191E+00
  4.6834574E+00  1.4865413E+00
  4.6835513E+00  1.4089980E+00
  4.6836448E+00  1.3787414E+00
  4.6837382E+00  1.3407224E+00
  4.6838322E+00  1.2958996E+00
  4.6839256E+00  1.2810308E+00
  4.6840196E+00  1.2570217E+00
  4.6841130E+00  1.2455934E+00
  4.6842070E+00  1.2158450E+00
  4.6843004E+00  1.2133895E+00
  4.6843944E+00  1.2149220E+00
  4.6844878E+00  1.2382613E+00
  4.6845818E+00  1.2421869E+00
  4.6846752E+00  1.2388414E+00
  4.6847692E+00  1.2260101E+00
  4.6848626E+00  1.2312746E+00
  4.6849566E+00  1.2538040E+00
  4.6850500E+00  1.2528360E+00
  4.6851439E+00  1.2500664E+00
  4.6852374E+00  1.2693374E+00
  4.6853313E+00  1.3219262E+00
  4.6854248E+00  1.3515717E+00
  4.6855187E+00  1.3662574E+00
  4.6856122E+00  1.3611462E+00
  4.6857061E+00  1.3366556E+00
  4.6857996E+00  1.3054283E+00
  4.6858935E+00  1.2841761E+00
  4.6859870E+00  1.2665988E+00
  4.6860809E+00  1.2427393E+00
  4.6861744E+00  1.2308701E+00
  4.6862683E+00  1.2357938E+00
  4.6863618E+00  1.2273837E+00
  4.6864557E+00  1.2233123E+00
  4.6865497E+00  1.2318826E+00
  4.6866431E+00  1.2288386E+00
  4.6867371E+00  1.2224938E+00
  4.6868305E+00  1.2332871E+00
  4.6869245E+00  1.2376124E+00
  4.6870179E+00  1.2415450E+00
  4.6871119E+00  1.2485557E+00
  4.6872058E+00  1.2692538E+00
  4.6872993E+00  1.2744889E+00
  4.6873932E+00  1.2616180E+00
  4.6874866E+00  1.2347888E+00
  4.6875806E+00  1.2323191E+00
  4.6876745E+00  1.2373898E+00
  4.6877680E+00  1.2394140E+00
  4.6878619E+00  1.2422016E+00
  4.6879559E+00  1.2586813E+00
  4.6880493E+00  1.2474703E+00
  4.6881433E+00  1.2511984E+00
  4.6882367E+00  1.2747428E+00
  4.6883307E+00  1.2863878E+00
  4.6884246E+00  1.2997934E+00
  4.6885180E+00  1.3095853E+00
  4.6886120E+00  1.3197327E+00
  4.6887059E+00  1.3109065E+00
  4.6887994E+00  1.3074169E+00
  4.6888933E+00  1.2923524E+00
  4.6889873E+00  1.2924026E+00
  4.6890807E+00  1.2738219E+00
  4.6891747E+00  1.2504836E+00
  4.6892686E+00  1.2413874E+00
  4.6893620E+00  1.2364416E+00
  4.6894560E+00  1.2424999E+00
  4.6895499E+00  1.2289801E+00
  4.6896434E+00  1.2162006E+00
  4.6897373E+00  1.2367162E+00
  4.6898313E+00  1.2512155E+00
  4.6899252E+00  1.2405216E+00
  4.6900187E+00  1.2354847E+00
  4.6901126E+00  1.2435952E+00
  4.6902065E+00  1.2440149E+00
  4.6903000E+00  1.2424213E+00
  4.6903939E+00  1.2419847E+00
  4.6904879E+00  1.2834146E+00
  4.6905818E+00  1.3230234E+00
  4.6906753E+00  1.3738958E+00
  4.6907692E+00  1.4547963E+00
  4.6908631E+00           -NaN
  4.6909571E+00           -NaN
  4.6910505E+00           -NaN
  4.6911445E+00           -NaN
  4.6912384E+00           -NaN
  4.6913323E+00  1.9113076E+00
  4.6914258E+00  1.9569548E+00
  4.6915197E+00  1.9401032E+00
  4.6916137E+00  1.8135666E+00
  4.6917076E+00  1.6662163E+00
  4.6918011E+00  1.5086679E+00
  4.6918950E+00  1.4355199E+00
  4.6919889E+00  1.3923913E+00
  4.6920829E+00  1.3802273E+00
  4.6921768E+00  1.3558599E+00
  4.6922703E+00  1.3364280E+00
  4.6923642E+00  1.3223746E+00
  4.6924582E+00  1.3155608E+00
  4.6925521E+00  1.3295758E+00
  4.6926460E+00  1.3149955E+00
  4.6927400E+00  1.3166829E+00
  4.6928334E+00  1.3337209E+00
  4.6929274E+00  1.3186181E+00
  4.6930213E+00  1.2728934E+00
  4.6931152E+00  1.2513294E+00
  4.6932092E+00  1.2595574E+00
  4.6933031E+00  1.2567960E+00
  4.6933966E+00  1.2548662E+00
  4.6934905E+00  1.2285335E+00
  4.6935844E+00  1.2259890E+00
  4.6936784E+00  1.2149364E+00
  4.6937723E+00  1.2202088E+00
  4.6938663E+00  1.2489512E+00
  4.6939602E+00  1.2559509E+00
  4.6940536E+00  1.2480587E+00
  4.6941476E+00  1.2678049E+00
  4.6942415E+00  1.2574898E+00
  4.6943355E+00  1.2484342E+00
  4.6944294E+00  1.2422091E+00
  4.6945233E+00  1.2158897E+00
  4.6946173E+00  1.2294812E+00
  4.6947112E+00  1.2860227E+00
  4.6948051E+00  1.2897666E+00
  4.6948991E+00  1.2529833E+00
  4.6949925E+00  1.2598677E+00
  4.6950865E+00  1.3129636E+00
  4.6951804E+00  1.3408856E+00
  4.6952744E+00           -NaN
  4.6953683E+00           -NaN
  4.6954622E+00           -NaN
  4.6955562E+00           -NaN
  4.6956501E+00           -NaN
  4.6957440E+00           -NaN
  4.6958380E+00           -NaN
  4.6959319E+00           -NaN
  4.6960258E+00           -NaN
  4.6961198E+00           -NaN
  4.6962137E+00  1.2445323E+00
  4.6963077E+00  1.2434820E+00
  4.6964016E+00  1.2815020E+00
  4.6964955E+00  1.3163562E+00
  4.6965895E+00  1.2750016E+00
  4.6966834E+00  1.1993588E+00
  4.6967773E+00  1.1910478E+00
  4.6968713E+00  1.2113115E+00
  4.6969652E+00  1.2370807E+00
  4.6970592E+00  1.2424647E+00
  4.6971531E+00  1.2357050E+00
  4.6972470E+00  1.2226346E+00
  4.6973410E+00  1.2361307E+00
  4.6974349E+00  1.2444793E+00
  4.6975288E+00  1.2330536E+00
  4.6976228E+00  1.1874692E+00
  4.6977167E+00  1.2084763E+00
  4.6978106E+00  1.2669128E+00
  4.6979046E+00  1.3057451E+00
  4.6979985E+00  1.2697695E+00
  4.6980925E+00  1.2111353E+00
  4.6981864E+00  1.2107941E+00
  4.6982803E+00  1.2551558E+00
  4.6983743E+00  1.2902079E+00
  4.6984682E+00  1.2914587E+00
  4.6985621E+00  1.3161001E+00
  4.6986561E+00  1.3009261E+00
  4.6987500E+00  1.2964653E+00
  4.6988444E+00  1.3142604E+00
  4.6989384E+00  1.3567708E+00
  4.6990323E+00  1.3838151E+00
  4.6991262E+00  1.3926443E+00
  4.6992202E+00  1.4417596E+00
  4.6993141E+00  1.5400729E+00
  4.6994081E+00  1.5986669E+00
  4.6995020E+00           -NaN
  4.6995959E+00           -NaN
  4.6996899E+00           -NaN
  4.6997843E+00           -NaN
  4.6998782E+00           -NaN
  4.6999722E+00           -NaN
  4.7000661E+00  1.9946121E+00
  4.7001600E+00  2.0685108E+00
  4.7002540E+00  2.0057654E+00
  4.7003479E+00  1.7329032E+00
  4.7004418E+00  1.5104630E+00
  4.7005363E+00  1.4054040E+00
  4.7006302E+00  1.3758612E+00
  4.7007241E+00  1.3644369E+00
  4.7008181E+00  1.3611413E+00
  4.7009120E+00  1.3291377E+00
  4.7010059E+00  1.2460972E+00
  4.7011003E+00  1.2508302E+00
  4.7011943E+00  1.3096770E+00
  4.7012882E+00  1.2923638E+00
  4.7013822E+00  1.2107762E+00
  4.7014761E+00  1.1533126E+00
  4.7015705E+00  1.1958332E+00
  4.7016644E+00  1.2385863E+00
  4.7017584E+00  1.2580348E+00
  4.7018523E+00  1.2861778E+00
  4.7019463E+00  1.2854713E+00
  4.7020407E+00  1.2589179E+00
  4.7021346E+00  1.2775589E+00
  4.7022285E+00  1.3116206E+00
  4.7023225E+00  1.2428948E+00
  4.7024164E+00  1.1936802E+00
  4.7025108E+00  1.2093617E+00
  4.7026048E+00  1.2359582E+00
  4.7026987E+00  1.2628162E+00
  4.7027926E+00  1.2911584E+00
  4.7028871E+00  1.3320535E+00
  4.7029810E+00  1.3051572E+00
  4.7030749E+00  1.2481005E+00
